CLDECP|CLFACP|CDAGE|RASCL|RASC2|INDCL|LOCCL|PROCL|CCAPCP|PAIVCP|CDLIN|CDLIS|TPIVA|SCONTO
ALTERS06|ALTERS07|03|ALTERSHEIM LAAS||.|LAAS|BZ|39020|02328850215||01|N||
ALTERS07|ALTERS07|03|KONSORTIUM BETRIEB|LAAS SCHLUDERNS|SCHULGASSE, 3|SCHLUDERNS|BZ|39020|02328850215||01|N||
ANGERGUT|ANGERGUT|03|ANGERGUT|DES MITTERER TOBIAS ANDREAS|ALTE STRASSE, 1 B|KASTELBELL|BZ|39020|03109020218||01|N||
AQUAFOR|AQUAFOR|03|AQUA FORUM BAR BISTRO PIZZERIA|USEINI TAIP|MARKTSTR. 48|LATSCH|BZ|39021|02418090219|1|01|N||
AQUAVVEN|AQUAVVEN|03|RIST. PIZZ. AQUAVVENTURA|BASKO & CO. SNC|VIA DEI CAMPI, 5|NATURNO|BZ|39025|02905680217|1|01|N||
BILDUNGS|BILDUNGS|03|CATERING SERVICE|OBERHOFER MARIALUISE|KATHARINABERG, 48|SCHNALS|BZ|39020|01119920211||01|N||
BRUGG|BRUGG|03|RADTREFF FISCHTEICH BRUGG|SCHATZER MARTIN|FISCHTEICH BRUGG, 10|SCHLANDERS|BZ|39028|03085090219||01|N||
BRUGGENW|BRUGGENW|03|BRUGGENWIRT ZORAN OHG|PEJASINOVIC ZORAN & CO.|SCHLOSSWEG, 1|GOLDRAIN LATSCH|BZ|39020|02264470218||01|N||
BURGERHE|BURGERHE|03|BURGERHEIM ST. NIKOLAUS VON|DER FLUE OBPB|DR. KARL TINZL STR. 19|SCHLANDERS|BZ|39028|00678820218|||N|02890|
CRAZY|CRAZY|03|CRAZY BURGER|ALBER MICHAEL|HAUPTSTRASSE, 11|LATSCH|BZ|39021|02932430214||01|N||
DIETL|DIETL01|03|PENSION DIETL|ORTLER GEORG WILHELM|HANS PEGGER STR. 6|LATSCH|BZ|39021|02969410212||01|N||
DIETL01|DIETL01|03|ORTLER GEORG WILHELM||ST. ANTONWEG, 60|PRAD AM STJ.|BZ|39026|02969410212||01|N||
DORFWIRT|DORFWIRT|03|DORFWIRT|KOXHA FLORIAN|HAUPTSTR. 35|LATSCH|BZ|39021|03248190211||01|N||
EGGERHOR|EGGERHOR|03|BACKEREI EGGER OHG|EGGER HORST & CO.|KUGELGASSE, 2|LATSCH|BZ|39021|01068890217||01|N||
EMPORI01|EMPORI01|03|EMPORIUM GENOSSENSCHAFT|CIG: Z5E261D6E7 - COD: 100.026|INNSBRUCKERSTRASSE, 23|BOZEN|BZ|39100|02607440217|||N||
EMPORI60|EMPORI60|03|EMPORIUM GENOSSENSCHAFT|CIG: ZD2297D767 KD.NR. 501108|INNSBRUCKERSTRASSE, 23|BOZEN|BZ|39100|02607440217|||N||
EMPORI61|EMPORI61|03|EMPORIUM GENOSSENSCHAFT|CIG: ZD2297D767 KD.NR. 502108|INNSBRUCKERSTRASSE, 23|BOZEN|BZ|39100|02607440217|||N||
EMPORI62|EMPORI62|03|EMPORIUM GENOSSENSCHAFT|CIG: ZD2297D767 KD.NR. 504108|INNSBRUCKERSTRASSE, 23|BOZEN|BZ|39100|02607440217|||N||
EMPORI63|EMPORI63|03|EMPORIUM GENOSSENSCHAFT|CIG: ZD2297D767 KD.NR. 505108|INNSBRUCKERSTRASSE, 23|BOZEN|BZ|39100|02607440217|||N||
EMPORI64|EMPORI64|03|EMPORIUM GENOSSENSCHAFT|CIG: ZD2297D767 KD.NR. 506108|INNSBRUCKERSTRASSE, 23|BOZEN|BZ|39100|02607440217|||N||
EMPORI65|EMPORI65|03|EMPORIUM GENOSSENSCHAFT|CIG: ZD2297D767 KD.NR. 507108|INNSBRUCKERSTRASSE, 23|BOZEN|BZ|39100|02607440217|||N||
EMPORISC|EMPORISC|03|EMPORIUM GENOSSENSCHAFT|CIG: ZD2297D767 KD.NR. 503108|INNSBRUCKERSTRASSE, 23|BOZEN|BZ|39100|02607440217|||N||
ENZIAN02|ENZIAN02|03|GASTHOF ENZIANHUTTE|D. HANNY GUNTHER & CO. KG|MARTELL, 200|MARTELL|BZ|39020|00738070218||01|N||
ETZTHALE|ETZTHALE|03|CAFE' REST.ETZTHALERHOF|ETZTHALER FRIEDRICH|STAATSSTRASSE, 54|TSCHARS|BZ|39020|01071170219||01|N||
FANTAZY|FANTAZY|03|STREETFOOD FANTAZY|MOUZONI LAHSEN|GERICHTSTRASSE, 5|SCHLANDERS|BZ|39028|02464350210||01|N||
FERDY|FERDY|03|RESTAURANT FERDY|FLORIAN SCHWEMBACHER|STAATSSTRASSE, 43|KASTELBELL|BZ|39020|02923920215||01|N||
FISCHER|FISCHER|03|FISCHERKLUB KORTSCH|Z.H. KASSIER GEMASSMER GEORG|KORTSCH, 29 B|SCHLANDERS|BZ|39028|02202400210||01|N||
FLEISC02|FLEISC02|03|HOTEL FLEISCHMANN & SOHNE GMBH||ENNEWASSER, 156|MARTELL|BZ|39020|02652940210||01|N||
FORCHE01|FORCHE01|03|WEINHANDLUNG FORCHER|JOHANN FORCHER|STAATSSTRASSE, 47|KASTELBELL-GALSAUN|BZ|39020|00891790214||01|N||
FREIBA01|FREIBA01|03|MARKTGEMEINDE SCHLANDERS||HAUPTSTRASSE, 120|SCHLANDERS|BZ|39028|01095160212||01|N|02800|
FREIBAD|FREIBA01|03|FREIBAD SCHLANDERS||SCHWIMMBADSTRASSE, 12|SCHLANDERS|BZ|39028|01095160212||01|N||
GAMPER|GAMPER|03|DESPAR GAMPER|DES GAMPER ALOIS & CO.OHG|GOLDRAIN, 10|LATSCH|BZ|39021|00889540217||01|N||
GAMPER04|GAMPER04|03|KANONIKUS MICHAEL GAMPERWERK|SCHULERHEIM DR. KARL TINZL|KAPUZINERWEG, 7|SCHLANDERS|BZ|39028|00631520210||01|N||
GEMEIN34|GEMEIN34|03|GEMEINDE LAAS|CIG:Z3415098C9|VINSCHGAUSTRASSE, 52|LAAS|BZ|39023|00848050217||01|N||
GEORGSHO|GEORGSHO|03|GEORGSHOF - PETER SCHWIENBACHER|& ELENA PANAITE OHG|NIBELUNGENSTRASSE, 40|LATSCH/MORTER|BZ|39021|02934030210||01|N||
GEPA|GEPA|03|BISTRO BAR GEPA|DER STECHER GERLINDE|GEWERBEGEBIET, 21|VETZAN SCHLANDERS|BZ|39028|02790480210||01|N||
GLINDE|GLINDE01|03|PARKHOTEL ZUR LINDE GMBH||GOFLANERSTRASSE,35|SCHLANDERS|BZ|39028|01389380211||03|N|00500|
GLINDE01|GLINDE01|03|G.E.S. GMBH| LOWECENTER|EISACKSTRASSE, 1|VAHRN|BZ|39040|01389380211||01|N|00200|
GOLDEN01|GOLDEN01|03|HOTEL GOLDENE ROSE|WIELANDER THOMAS|HAUPTSTRASSE, 73|SCHLANDERS|BZ|39028|02654510219||01|N||
GOLDRA02|GOLDRA02|03|JAUSENSTATION GOLDRAINERSEE|HO.DA. OHG HOFFER DARIO & CO.|WEIHERWEG, 6|LATSCH|BZ|39021|02671680219||01|N||
GOLDRAIN|GOLDRAIN|03|REST. PIZZ. GOLDRAINERHOF|USEINI BERAT @IMERI ELFAT SNC|VINSCHGAUERSTR. 4|GOLDRAIN|BZ|39021|03197680212||01|N||
GRETA|GRETA|03|CAFE' KONDITOREI GRETA|DES PINGGERA WALTER|SCHULWEG, 7/G|LAAS|BZ|39023|01257750214||01|N||
GROGG|GROGG|03|GROGGALM|GLUDERER STEFAN|ENNEWASSER, 261|MARTELL|BZ|39020|00749670212||01|N||
GSTIRNER|GSTIRNER|03|GASTH. PENS. GSTIRNERHOF|GSTIRNER CHRISTINE|SPINEIDSTR. 5|KASTELBELL TSCHARS|BZ|39020|01485390213||01|N||
GUFLER|GUFLER|03|CAFE' GUFLER|KIEM ANDREA|MARCONISTRASSE, 4|SCHLANDERS|BZ|39028|03297460218||01|N||
HASENWIR|HASENWIR|03|HASENWIRT|BURATTI BRUNO|HAUPTSTRASSE, 115/B|SCHLANDERS|BZ|39028|02574120214||01|N||
HAUSHALT|HAUSHA01|03|FACHSCHULE FUR HAUSWIRTSCHAFT UND|ERNAHRUNG KORTSCH|SCHMIEDGASSE, 8|KORTSCH/SCHLANDERS 603138|BZ|39028|02607440217|||N|01880|
HBAUHO01|HBAUHO01|03|HOGAST ITALIEN EINKAUFSGEN.|FUR DAS HOTEL- UND GASTGEWERBE|SCHLACHTHOFSTRASSE, 53-B|BOZEN|BZ|39100|01342330212||01|N||
HBAUHOF|HBAUHO01|03|HOTEL BAUHOF KG|KARIN LINSER|MAREINERSTRASSE,1|KASTELBELL|BZ|39020|01342330212||03|N||
HELENE|HELENE|03|CAFE' HELENE|KLAMMSTEINER ERHARD & CO. KG|MARKTGASSE, 20/C|LATSCH|BZ|39021|02826720217||01|N||
HJAGDH02|HJAGDH03|03|HOTEL JAGDHOF GMBH||HERRENGASSE, 15|LATSCH|BZ|39021|01342330212||03|N||
HJAGDH03|HJAGDH03|03|HOGAST ITALIEN EINKAUFSGEN.|FUR DAS HOTEL- UND GASTGEWERBE|SCHLACHTHOFSTRASSE, 53-B|BOZEN|BZ|39100|01342330212||01|N||
HLEBEN01|HLEBEN01|03|HOGAST ITALIEN EINKAUFSGEN.|FUR DAS HOTEL- UND GASTGEWERBE|SCHLACHTHOFSTRASSE, 53-B|BOZEN|BZ|39100|01342330212|||N||
HLEBENSH|HLEBEN01|03|ZENTRUM MIT BEHINDERUNG|LEBENSVERBAND LEBENSHILFE|DR. KARL TINZL STRASSE, 12|SCHLANDERS|BZ|39028|01342330212||02|N||
HOLDERLE|HOLDERLE|03|KAFFEE HOLDERLE|FLEISCHMANN WOLFGANG|INNERMARTELL, 17|MARTELL|BZ|39020|01347260216||01|N||
HPARAD04|HPARAD05|03|HOTEL PARADIES GMBH||QUELLENWEG, 12|LATSCH|BZ|39021|01342330212|1|03|N||
HPARAD05|HPARAD05|03|HOGAST ITALIEN EINKAUFSGEN.|FUR DAS HOTEL- UND GASTGEWERBE|SCHLACHTHOFSTRASSE, 53-B|BOZEN|BZ|39100|01342330212||03|N||
HVINSC01|HVINSC01|03|HOGAST ITALIEN EINKAUFSGEN.|FUR DAS HOTEL- UND GASTGEWERBE|SCHLACHTHOFSTRASSE, 53-B|BOZEN|BZ|39100|01342330212||01|N||
HVINSCHG|HVINSC01|03|VINSCHGERHOF KG|DES MANFRED PINZGER|VEZZAN, 37|SCHLANDERS|BZ|39028|01342330212||03|N||
JOLLY|JOLLY|03|PIZZERIA JOLLY|USEINI SIRAFAT|MARKTSTRASSE, 1|LATSCH|BZ|39021|02907760215|1|01|N||
JOLLY01|JOLLY01|03|BAR CAFE JOLLY|CERVENAKOVA MIROSLAVA|MARKTSTRASSE,1|LATSCH|BZ|39021|02689140214||01|N||
KESSLWIR|KESSLWIR|03|HOTEL KESSLWIRT|GURSCHLER VGMBH|TOMBERGWEG, 4|KASTELBELL - TSCHARS|BZ|39020|03074940218||01|N||
KIEM|KIEM01|03|METZGEREI KIEM GMBH||STAATSSTRASSE, 13|KASTELBELL|BZ|39020|02927310215||01|N||
KINDER01|KINDER01|03|KINDERGARTEN LAAS|GEMEINDE LAAS|VINSCHGAUSTRASSE, 52|LAAS|BZ|39023|00848050217||01|N||
KINDER31|KINDER31|03|KINDERGARTEN MORTER||NIEBELUNGENSTRASSE, 30|MORTER|BZ|39020|00396990210||01|N||
KINDER36|GEMEIN34|03|KINDERGARTEN TSCHENGLS||DORF, 15|TSCHENGLS|BZ|39020|00848050217||01|N||
KINDER55|KINDER55|03|KINDERGARTEN LATSCH||HAUPTSTRASSE, 61|LATSCH|BZ|39021|00396990210||01|N||
KINDER60|EMPORI60|03|KINDERGARTEN KORTSCH|GEMEINDE SCHLANDERS 501108|AGIDUSWEG, 2 FRAKTION KORTSCH|SCHLANDERS|BZ|39028|02607440217|||N|02280|
KINDER61|EMPORI61|03|KINDERGARTEN GOFLAN|GEMEINDE SCHLANDERS 502108|MARIAN TUMLER, 12|SCHLANDERS|BZ|39028|02607440217|||N|02280|
KINDER62|EMPORI62|03|DEUTSCHER KINDERGARTEN|GEMEINDE SCHLANDERS 504108|KARL SCHONHERR STR. 21|SCHLANDERS|BZ|39028|02607440217|||N|02280|
