CLDECP|CLFACP|CDAGE|RASCL|RASC2|INDCL|LOCCL|PROCL|CCAPCP|PAIVCP|CDLIN|CDLIS|TPIVA|SCONTO
EGGERHOF|EGGERHOF|01|GASTHAUS EGGERHOF|WALZL GEORG|SCHENNABERG, 32|SCHENNA|BZ|39017|02840510214||01|N||
HALPIN|HALPIN01|01|SCHENNA HOTELS GMBH|PENSION ALPIN|VERDINSERSTRASSE, 36|SCHENNA|BZ|39017|01342330212||02|N||
HALPIN01|HALPIN01|01|HOGAST ITALIEN EINKAUFSGEN.|FUR DAS HOTEL- UND GASTGEWERBE|SCHLACHTHOFSTRASSE, 53-B|BOZEN|BZ|39100|01342330212||01|N||
HBAUMG01|HBAUMG01|01|HOGAST ITALIEN EINKAUFSGEN.|FUR DAS HOTEL- UND GASTGEWERBE|SCHLACHTHOFSTRASSE, 53-B|BOZEN|BZ|39100|01342330212|||N||
HBAUMGAR|HBAUMG01|01|BAUMGARTNER'S BLUMENHOTEL|D. PIRCHER HELENE & CO. KG|VERDINSERSTRASSE, 11/B|SCHENNA|BZ|39017|01342330212||02|N||
HESCHE01|HESCHE01|01|HOGAST ITALIEN EINKAUFSGEN.|FUR DAS HOTEL- UND GASTGEWERBE|SCHLACHTHOFSTRASSE, 53-B|BOZEN|BZ|39100|01342330212||01|N||
HESCHENL|HESCHE01|01|SCHENNA HOTELS GMBH|HOTEL ESCHENLOHE|SCHENNAERSTRASSE, 55|SCHENNA|BZ|39017|01342330212||02|N||
HGUTEN01|HGUTEN01|01|HOGAST ITALIEN EINKAUFSGEN.|FUR DAS HOTEL- UND GASTGEWERBE|SCHLACHTHOFSTRASSE, 53-B|BOZEN|BZ|39100|01342330212||02|N||
HGUTENBE|HGUTEN01|01|HOTEL GUTENBERG|AINHAUSER HANSJORG|IFINGERSTRASSE, 14|SCHENNA|BZ|39017|01342330212||02|N||
HHIRZE02|HHIRZE03|01|OLIVEN- & GENUSSHOTEL HIRZER|TSCHOEL ANDREAS STEFAN|IFINGER STRASSE, 5|SCHENNA|BZ|39017|01342330212||02|N||
HHIRZE03|HHIRZE03|01|HOGAST ITALIEN EINKAUFSGEN.|FUR DAS HOTEL- UND GASTGEWERBE|SCHLACHTHOFSTRASSE, 53-B|BOZEN|BZ|39100|01342330212||02|N||
HHOHEN01|HHOHEN01|01|HOGAST ITALIEN EINKAUFSGEN.|FUR DAS HOTEL- UND GASTGEWERBE|SCHLACHTHOFSTRASSE, 53-B|BOZEN|BZ|39100|01342330212||02|N||
HHOHENWA|HHOHEN01|01|HOTEL HOHENWART GMBH||VERDINSERSTRASSE, 5|SCHENNA|BZ|39017|01342330212||02|N||
HLAGRE01|HLAGRE01|01|HOGAST ITALIEN EINKAUFSGEN.|FUR DAS HOTEL- UND GASTGEWERBE|SCHLACHTHOFSTRASSE, 53-B|BOZEN|BZ|39100|01342330212||02|N||
HLAGREIN|HLAGRE01|01|HOTEL LAGREIN GMBH|WALDNER BIRGIT|SCHENNASTRASSE, 54|SCHENNA|BZ|39017|01342330212||02|N||
HOFLER|HOFLER|01|KONDITOREI DES EDUARD|HOFLER JUN. OHG|VERDINSERSTR. 3|SCHENNA|BZ|39017|01479830216||01|N||
HRESMA01|HRESMA01|01|HOGAST ITALIEN EINKAUFSGEN.|FUR DAS HOTEL- UND GASTGEWERBE|SCHLACHTHOFSTRASSE, 53-B|BOZEN|BZ|39100|01342330212||02|N||
HRESMAIR|HRESMA01|01|PANORAMAHOTEL RESMAIRHOF|UNTERTHURNER RUDOLF|SCHENNASTRASSE, 11|SCHENNA|BZ|39017|01342330212||02|N||
HSCHEN01|HSCHEN01|01|HOGAST ITALIEN EINKAUFSGEN.|FUR DAS HOTEL- UND GASTGEWERBE|SCHLACHTHOFSTRASSE, 53-B|BOZEN|BZ|39100|01342330212||01|N||
HSCHENNE|HSCHEN01|01|SCHENNERHOF GMBH||SCHENNASTRASSE, 3|SCHENNA|BZ|39017|01342330212||02|N||
HSCHLO01|HSCHLO01|01|HOGAST ITALIEN EINKAUFSGEN.|FUR DAS HOTEL- UND GASTGEWERBE|SCHLACHTHOFSTRASSE, 53-B|BOZEN|BZ|39100|01342330212||01|N||
HSCHLOSS|HSCHLO01|01|SCHLOSSWIRT|PRUNNER JOSEF|SCHLOSSWEG,2|SCHENNA|BZ|39017|01342330212||02|N||
HSTARK01|HSTARK01|01|HOGAST ITALIEN EINKAUFSGEN.|FUR DAS HOTEL- UND GASTGEWERBE|SCHLACHTHOFSTRASSE, 53-B|BOZEN|BZ|39100|01342330212||01|N||
HSTARKEN|HSTARK01|01|HOTEL STARKENBERG KG|DES MAIR FRANZ & CO.|VERDINSERSTRASSE, 10|SCHENNA|BZ|39017|01342330212||02|N||
HSTEIE01|HSTEIE01|01|HOGAST ITALIEN EINKAUFSGEN.|FUR DAS HOTEL- UND GASTGEWERBE|SCHLACHTHOFSTRASSE, 53-B|BOZEN|BZ|39100|01342330212||01|N||
HSTEIERH|HSTEIE01|01|GASTHOF GSTEIER||GSTEIERWEG, 3|SCHENNA|BZ|39017|01342330212||02|N||
HSUNNW01|HSUNNW01|01|HOGAST ITALIEN EINKAUFSGEN.|FUR DAS HOTEL- UND GASTGEWERBE|SCHLACHTHOFSTRASSE, 53-B|BOZEN|BZ|39100|01342330212||01|N||
HSUNNWIE|HSUNNW01|01|HOTEL SUNNWIES|DOSSER B. & CO. KG|PICHLERSTRASSE, 1|SCHENNA|BZ|39017|01342330212||02|N||
HTYROL|HTYROL01|01|HOTEL TYROL|UNTERTHURNER STEFAN & CO. KG|KATNAUWEG, 6|SCHENNA|BZ|39017|01342330212||03|N||
HTYROL01|HTYROL01|01|HOGAST ITALIEN EINKAUFSGEN.|FUR DAS HOTEL- UND GASTGEWERBE|SCHLACHTHOFSTRASSE, 53-B|BOZEN|BZ|39100|01342330212||01|N||
HWALTE01|HWALTE01|01|HOGAST ITALIEN EINKAUFSGEN.|FUR DAS HOTEL- UND GASTGEWERBE|SCHLACHTHOFSTRASSE, 53-B|BOZEN|BZ|39100|01342330212||01|N||
HWALTER|HWALTE01|01|HOTEL WALTER GMBH||SCHENNASTR. 49|SCHENNA|BZ|39017|01342330212||03|N||
KLARNERH|KLARNERH|01|PENS.KLARNERHOF|PFOESTL THERESIA MARIA & CO.KG|VORLANDWEG, 12|SCHENNA|BZ|39017|00542680210||02|N||
KOFLER02|KOFLER02|01|BACKEREI KOFLER & CO. KG||PURENWEG, 6|DORF TIROL|BZ|39019|00859780215||01|N||
LAIMERHO|LAIMERHO|01|HOTEL LAIMERHOF|AGSTNER MARKUS|JAUFENSTRASSE, 82|RIFFIAN|BZ|39010|02839520216||01|N||
MIGNON|MIGNON|01|PENSION MIGNON|DES HANIFLE OSWALD|HOHLGASSE, 59|RIFFIAN|BZ|39010|02303630210||01|N||
MONIKA|MONIKA|01|RESTAURANT CAFE' MONIKA|MARILU SRLS|VIA VERDINES, 2|SCHENNA|BZ|39017|03245650217|1|02|N||
MOSERHOF|MOSERHOF|01|MOSERHOF KG DER GEBRUDER|PFOSTL GEORG & REINHARD|ST. GEORGENSTRASSE, 40|SCHENNA|BZ|39017|02364250213||02|N||
PETERMAN|PETERMAN|01|PETERMANN - H&K PARTNERS V GMBH||ST. GEORGENSTRASSE, 5/A|SCHENNA|BZ|39017|03289880217||01|N||
PWINZE01|PWINZE01|01|GASTRO-POOL ITALIEN GMBH||SCHLACHTHOFSTRASSE, 53-B|BOZEN|BZ|39100|02616790214||02|N||
PWINZERH|PWINZE01|01|PANORAMIC SUITES WINZERHOEHE|DOSSER MONIKA KG|PICHLERSTRASSE, 26 B|SCHENNA|BZ|39017|02616790214||02|N||
ROCHUS|ROCHUS|01|HOTEL ROCHUSHOF|A.EGGER & CO O.H.G.|SCHENNASTRASSE, 15/B|SCHENNA|BZ|39017|01109460210||01|N||
SCHMIE02|SCHMIE02|01|PENSION SCHMIEDHANS|DES DAPRA FRANZ & CO. KG|SCHENNASTR. 31|SCHENNA|BZ|39017|00752760215||01|N||
